Rijksdriehoeksmeting:+ellps=bessel +towgs84=593.0,26.0,478.0,0,0,0,0 
Rome 1940:+ellps=intl +towgs84=-255.0,-65.0,9.0,0,0,0,0 
RT 90:+ellps=bessel +towgs84=498.0,-36.0,568.0,0,0,0,0 
S42:+ellps=krass +towgs84=28.0,-121.0,-77.0,0,0,0,0
Santo (DOS):+ellps=intl +towgs84=170,42,84,0,0,0,0 
Sao Braz:+ellps=intl +towgs84=-203.0,141.0,53.0,0,0,0,0 
Sapper Hill 1943:+ellps=intl +towgs84=-355.0,16.0,74.0,0.0,0.0,0.0,0.0 
Schwarzeck:+ellps=bess_nam +towgs84=616.0,97.0,-251.0,0.0,0.0,0.0,0.0 
South American 1969:+ellps=aust_SA +towgs84=-57.0,1.0,-41.0,0,0,0,0 
South Asia:+ellps=fschr60m +towgs84=7.0,-10.0,-26.0,0,0,0,0
Southeast Base:+ellps=intl +towgs84=-499.0,249.0,314.0,0,0,0,0
Southwest Base:+ellps=intl +towgs84=-104.0,167.0,-38.0,0,0,0,0
Timbalai 1948:+ellps=evrst30 +towgs84=-689.0,691.0,-46.0,0,0,0,0 
Tokyo:+ellps=bessel +towgs84=-128.0,481.0,664.0,0.0,0.0,0.0,0.0 
Tristan Astro 1968:+ellps=intl +towgs84=-632,438,-609,0,0,0,0 
Viti Levu 1916:+ellps=clrk80 +towgs84=51,391,-36,0,0,0,0 
Wake-Eniwetok 1960:+ellps=hough =towgs84=101.0,52.0,-39.0,0,0,0,0
WGS 72:+ellps=WGS72 +towgs84=0,0,5.0,0,0,0,0
WGS 84:+ellps=WGS84 +datum=WGS84 
Yacare:+ellps=intl +towgs84=-155.0,171.0,37.0,0.0,0.0,0.0,0.0 
Zanderij:+ellps=intl +towgs84=-265.0,120.0,-358.0,0.0,0.0,0.0,0.0 
